Tag	en	it	de	nl	fi	br	pl	da	tr	fr	es	sl
Mansion	Mansion	Palazzo	Herrenhaus	Herenhuis	Kartano	Mansão	Rezydencja	Palæ	Malikane	Manoir	Mansión	Dvorec
Map	Map	Mappa	Karte	Map	Kartta	Mapa	Mapa	Kort	Harita	Carte	Mapa	Zemljevid
March	March	marzo	März	maart	maaliskuu	Março	Marzec	Marts	Mars	Mars	Marzo	marec
May	May	maggio	Mai	mei	toukokuu	Maio	Maj	Maj	Mayis	Mai	Mayo	maj
Medieval Castle	Medieval Castle	Castello Medievale	Burg	Middeleeuws kasteel	Keskiaikainen linna	Castelo Medieval	Średniowieczny Zamek	Middelalderslot	Orta Cag Kalesi	Château médiéval	Castillo Medieval	Srednjeveški grad
Medium	Medium	Medio	Normal	Gemiddeld	Keskitaso	Médio	Średnie	Mellem	Orta	Moyen	Medio	Srednje
Monday	Monday	Lunedi	Montag	maandag	maanantai	Segunda-Feira	Poniedziałek	Mandag	Pazartesi	Lundi	Lunes	ponedeljek
Music	Music	Musica	Musik	Muziek	Musiikki	Música	Muzyka	Musik	Müzik	Musique	Música	Glasba
Name	Name	Nome	Name	Naam	Nimi	Nome	Nazwisko	Navn	Isim	Nom	Nombre	Ime
Nation	Nation	Nazione	Nation	Land	Kansakunta	País	Kraj	Nation	Ulus	pays	País	Država
Nationality	Nationality	Nazionalità	Nationalität	Nationaliteit	Kansallisuus	Nacionalidade	Narodowość	Nationalitet	Milliyet	Nationalité	Nacionalidad	Državljanstvo
New Contract	New Contract	Nuovo Contratto	Neuer Vertrag	Nieuw contract	Uusi sopimus	Novo Contrato	Nowy Kontrakt	Ny Kontrakt	Yeni Sözlesme	Nouveau contrat	Nuevo Contrato	Nova pogodba
New Game	New Game	Nuovo Gioco	Neues Spiel	Nieuw spel	Uusi peli	Novo Jogo	Nowa Gra	Nyt Spil	Yeni Oyun	Nouvelle partie	Nuevo Juego	Nova igra
New Player	New Player	Nuovo Giocatore	Neuer Fahrer	Nieuwe speler	Uusi pelaaja	Novo Jogador	Nowy Gracz	Ny Spiller	Yeni Oyuncu	Nouveau joueur	Jugador Nuevo	Nov igralec
New Star GP	New Star GP	New Star GP	New Star Grand Prix	New Star GP	New Star GP	New Star GP	New Star GP	New Star GP	New Star Grand Prix	New Star GP	New Star GP	New Star GP
Next	Next	Prossimo	Weiter	Volgende	Seuraava	Próximo	Dalej	Næste	Sonraki	Suivant	Siguiente	Naprej
No	No	No	Nein	Nee	Ei	Não	Nie	Nej	Hayir	Non	No	Ne
Normal	Normal	Normale	Normal	Normaal	Normaali	Normal	Normalny	Normal	Normal	Normal	Normal	Normalno
Not Registered	Not Registered	Non Registrato	Nicht registriert	Niet geregistreerd	Ei rekisteröity	Não Registrado	Nie Zarejestrowany	Ikke Registreret	Kayitli Degil	Non enregistré	No Registrado	Neregistriran
November	November	novembre	November	november	marraskuu	Novembro	Listopad	November	Kasim	Novembre	Noviembre	november
Nudge	Nudge	Cambio	Stoßen	Duwtje	Töytäise	Mudar	Przesuń	Skub	Titresim	Nudge	Empujar	Dregni
Objects	Objects	Oggetti	Gegenstände	Objecten	Objektit	Objetos	Obiekty	Objekter	Nesneler	Objets	Objetos	Objekti
October	October	ottobre	Oktober	oktober	lokakuu	Outubro	Paźdzniernik	Oktober	Ekim	Octobre	Octubre	oktober
OK	OK	OK	OK	OK	OK	OK	OK.	OK	Tamam	OK	Aceptar	V redu
Online Help	Online Help	Aiuto Online	Online-Hilfe	Online Help	Onlineapu	Ajuda Online	Pomoc Online	Online Hjælp	Çevrimiçi Yardim	Aide en ligne	Ayuda en línea	Spletna pomoč
Online Leaderboard	Online Leaderboard	Classifica Online	Online-Rangliste	Online Klassement	Online johtajataulukko	Tabela online	Internetowa Lista Najlepszych	Online-stilling	Çevrimiçi En Iyiler Listesi	Classement en ligne	Tabla de posiciones en línea 	Spletna lestvica
Options	Options	Opzioni	Optionen	Opties	Asetukset	Opções	Opcje	Indstillinger	Ayarlar	Options	Opciones	Možnosti
Page	Page	Pagina	Seite	Pagina	Sivu	Página	Strona	Side	Sayfa	Page	Página	Stran
Paste	Paste	Incolla	Einfügen	Plakken	Liitä	Colar	Wklej	Indsæt	Yapistir	Coller	Pegar	Prilepi
Pause	Pause	Pausa	Pause	Pauze	Tauko	Pausar	Pauza	Pause	Duraklat	Pause	Pausa	Pavza
Pause Game	Pause Game	Pausa Gioco	Spiel unterbrechen	Spel pauzeren	Pysäytä peli	Pausar Jogo	Zapauzuj	Pause Spillet	Oyunu Duraklat	Mettre en pause	Pausar Juego	Pavziraj
Paused	Paused	In Pausa	Pause	Gepauzeerd	Pysäytetty	Pausado	Zapauzowane	Pause	Duraklatildi	En pause	En pausa	Pavzirano
Personal Best	Personal Best	Miglior Personale	Persönliche Bestleistung	Persoonlijke besttijd	Henkilökohtainen ennätys	Melhor Pessoal	Twój rekord	Personlig Rekord	En Iyi Süre	Record personnel	Mejores personales	Osebni record
Pit Crew	Pit Crew	Meccanici	Boxencrew	Pit Crew	Tallin tiimi	Engenheiros	Załoga Mechaników	Pit-besætning	Pit Ekibi	Staff technique	Tripulación de boxes	Ekipa v boksih
Pit Lane	Pit Lane	Pit Lane	Boxengasse	Pit Lane	Varikon ajolinja	Área de Pits	Pit Lane	Pitten	Pit Seridi	Ligne des stands	Pit Lane	Boks steza
Pit Radio	Pit Radio	Pit Radio	Boxenfunk	Pit Radio	Varikon radio	Rádio do Pit	Radio Pit	Pit-radio	Pit Radyosu	Radio équipage	Radio de boxes	Radijska povezava
Pit Stop	Pit Stop	Pit Stop	Boxenstop	Pit Stop	Varikköpysähdys	Pit Stop	Pit Stop	Pit Stop	Pit Stop	Stand	Parada en boxes	Boks
pitstop_Instructions	Use your driving controls to set up your car	Usa i controlli per scegliere il livello di benzina e i pneumatici che preferisci	Verwende die Fahr-Steuerung; um die Treibstoffmenge und den Reifentyp zu bestimmen	Gebruik je race controls om de banden en de juiste hoeveelheid benzine te kiezen	Käytä ajonäppäimiä asettaaksesi polttoaineen määrän ja halutut renkaat	Utilize os botões de pilotagem para alterar o nível de combustível e os pneus	Użyj klawiszy kontrolnych aby ustawić poziom paliwa i typ opon	Brug dine køreknapper for at indstille benzinniveau og foretrukne dæk.	Aracinizi ayarlamak icin sürüs kontrollerinizi kullanin	Utilsez vos touches de contrôles pour régler le niveau d'essence et les pneus préférés	Use su control de conducción para establecer el nivel de combustible y neumáticos preferidos	Uporabi tipke za vožnjo in nastavi količino goriva in željene gume.
Place Of Birth	Place Of Birth	Luogo di Nascita	Geburtsort	Geboorteplaats	Syntymäpaikka	Local	Miejsce urodzenia	Fødested	Dogum Yeri	Lieu de naissance	Lugar de nacimiento	Kraj rojstva
Play	Play	Gioca	Spielen	Speel	Pelaa	Avançar	Graj	Spil	Oyna	Jouer	Jugar	Igraj
Player Registration	Player Registration	Registrazione Giocatore	Fahrer-Registrierung	Spelers registratie	Pelaajan rekisteröinti	Registro de Jogador	Rejestracja	Spillerregistrering	Oyuncu Kaydi	Enregistrement du joueur	Registro de Jugador	Registracija igralca
Podiums	Podiums	Podii	Podiumsplätze	Ereplaatsen	Palkintokorokesijat	Pódios	Na podium	Podieplaceringer	Podyumlar	Podiums	Podios	Stopničke
Points	Points	Punti	Punkte	Punten	Pisteet	Pontos	Punkty	Point	Puanlar	Points	Puntos	Točke
Poles	Poles	Pole	Poles	Poleposities	Paalupaikat	Pole-Positions	Pole Position	Pole Positioner	Kisa Yarislar	Poles	Poles	Prva štartna mesta
Position	Position	Posizione	Position	Positie	Sijainti	Posição	Pozycja	Position	Sira	Position	Posición	Mesto
Practice	Practice	Pratica	Üben	Oefenen	Harjoittelu	Treinar	Trening	Træning	Alistirma	Entraînement	Práctica	Trening
Previous	Previous	Precedente	Zurück	Vorige	Edellinen	Anterior	Wstecz	Forrige	Önceki	Précédent	Anterior	Nazaj
Principal	Principal	Principale	Chef	Baas	Tallipäällikkö	Chefe	Dyrektor	Direktør	Baskan	Principal	Principal	Vodja moštva
principal	principal	Principale	chef	Baas	Tallipäällikkö	chefe	dyrektor	direktør	baskan	principal	principal	vodja moštva
Private Island	Private Island	Isola Privata	Privatinsel	Privé eiland	Yksityinen saari	Ilha Privativa	Własna Wyspa	Privat ø	Özel Ada	Ile privée	Isla privada	Zasebni otok
Prize Money	Prize Money	Premio Denaro	Preisgeld	Prijzengeld	Palkintorahat	Prêmio da Corrida	Nagroda	Præmiepenge	Ödül Parasi	Argent gagné	Premio en dinero	Denarna nagrada
Property	Property	Proprietà	Immobilien	Eigendom	Omaisuus	Propriedade	Własność	Ejendom	Mal Varligi	Propriété	Propiedad	Nepremičnina
Qualify	Qualify	Qualificarsi	Qualifizieren	Kwalificeer	Aika-ajo	Classificar	Jedź w kwalifikacjach	Kvalificer	Siralama	Se qualifier	Clasificar	Kvalifikacije
Qualifying	Qualifying	Qualificazioni	Qualifikation	Kwalificeren	Aika-ajot	Classificação	Kwalifikacje	Kvalifikation	Siralama Yarisi	Qualifications	Clasificación	Kvalifikacije
Quick Race	Quick Race	Gara Veloce	Schnelles Rennen	Quick Race	Pikakisa	Corrida Rápida	Szybki Wyścig	EnkeltdagsLøb	Hizli Yaris	Course rapide	Carrara rápida	Hitra dirka
Quit	Quit	Esci	Beenden	Quit	Lopeta	Sair	Wyjdź	Afslut	Çikis	Quitter	Salir	Izhod
Quit Race	Quit Race	Esci dalla Gara	Rennen Beenden	Quit Race	Lopeta kisa	Sair da Corrida	Opuść Wyścig	Afslut Løbet	Yaristan Çikis	Quitter la course	Salir de carrera	Zapusti dirko
Race	Race	Gara	Rennen	Race	Kisa	Corrida Rápida	Wyścig	Løb	Yaris	Course	Carrera	Dirka
Race Options	Race Options	Opzioni Gara	Rennoptionen	Race opties	Kisa-asetukset	Opções da Corrida	Opcje Wyścigu	Løbsindstillinger	Yaris Ayarlari	Options de course	Opciones de carrera	Možnosti dirke
Races	Races	Gare	Rennen	Races	Kisat	Corridas	Wyścigi	Løb	Yarislar	Courses	Carreras	Dirke
Racing Line	Racing Line	Linea di Guida	Ideallinie	Racing Line	Ajosijainti	Traçado	Linia Wyścigu	Ideallinje	Yaris Çizgisi	Trajectoire de course	Línea de carrera	Idealna linija
Record	Record	Record	Rekord	Record	Ennätys	Gravar	Rekord	Rekord	Rekor	Record	Registro	Rekord
Refresh	Refresh	Ricarica	Aktualisieren	Vernieuw	Päivitä	Atualizar	Odśwież	Opdater	Yenile	Rafraichir	Actualizar	Osveži
Registered	Registered	Registrato	Registriert	Geregistreerd	Rekisteröity	Registrado	Zarejestrowany	Registreret	Kayitli	Enregistré	Registrado	Registriran
Registration	Registration	Registrazione	Registrierung	Registratie	Rekisteröinti	Registro	Rejestracja	Registration	Kayit	Enregistrement	Registro	Registracija
Relationships	Relationships	Rapporti	Beziehungen	Relaties	Suhteet	Relacionamentos	Relacje	Forhold	Iliskiler	Relations	Relaciones	Odnosi
Replace Driver	Replace Driver	Rimpiazza Pilota	Fahrer ersetzen	Vervang piloot	Korvaa ajaja	Substituir piloto	Zastąp Kierowcę	Erstat Kører	Sürücüyü Degistir	Remplacer pilote	Reemplazar conductor	Nadomesti voznika
Replay	Replay	Replay	Wiederholung	Replay	Uusinta	Replay	Replay	Gengivelse	Yeniden Göster	Ralenti	Repetir	Ponovljeni posnetek
replay_CarAhead	Car Ahead	Macchina Davanti	Wagen vorn	Wagen voor	Edessä oleva auto	Carro na frente	Samochód z przodu	Bil Forude	Öndeki Araç	Voiture précédente	Auto en frente	Naslednji dirkalnik
replay_CarBehind	Car Behind	Macchina Dietro	Wagen hinten	Wagen achter	Takana oleva auto	Carro atrás	Samochód z tyłu	Bil Bagved	Arkadaki Araç	Voiture suivante	Auto detrás	Prejšnji dirkalnik
replay_Forward	Forward	In Testa	Vorspulen	Forward	Kelaa eteenpäin	Avançar	Przyspiesz	Spole Fremad	Ileri	Avance	Adelante	Naprej
replay_NextLap	Next Lap	Prossimo Giro	Nächste Runde	Volgende ronde	Seuraava kierros	Proxima Volta	Następne Okrążenie	Næste Omgang	Sonraki Tur	Tour suivant	Siguiente Vuelta	Naslednji krog
replay_PreviousLap	Previous Lap	Giro Precedente	Vorherige Runde	Vorige ronde	Edellinen kierros	Volta Anterior	Poprzednie Orkążenie	Forrige Omgang	Önceki Tur	Tour précédent	Vuelta Anterior 	Prejšnji krog
replay_ReplayEnd	Replay End	Fine Replay	Wiederholung beenden	Stop replay	Uusinnan loppu	Fim do Replay	Koniec powtórki	Gengivelse Afsluttet	Yeniden Gösterim Sonu	Fin du ralenti	Repetir Final	Ponovi zaključek
replay_ReplayStart	Replay Start	Inizio Replay	Wiederholung starten	Start replay	Uusinnan alku	Começo do Replay	Początek powtórki	Gengivelse Startet	Yeniden Gösterim Baslangici	Début du ralenti	Repetir Inicio	Ponovi štart
replay_Rewind	Rewind	Riavvolgi	Zurückspulen	Rewind	Kelaa taaksepäin	Voltar	Przewiń w tył	Spole Tilbage	Ileri Al	Retour	Retroceder	Prevrti nazaj
replay_SlowMo	Slow Mo	Slow Mo	Zeitlupe	Slow Mo	Slow Mo	Câmera Lenta	Wolne tempo	Langsom Gengivelse	Yavas Gösterim	Ralenti	Cámara lenta	Počasni posnetek
Replays	Replays	Replay	Wiederholungen	Replays	Uusinnat	Replays	Powtórki	Gengivelser	Y.Göster	Ralentis	Repeticiones	Ponovni posnetki
Resolution	Resolution	Risoluzione	Auflösung	Motie	Resoluutio	Resolução	Rozdzielczość	Resolution	Çözünürlük	Résolution	Resolución	Resolucija
Rest day	Rest day	Giorno di Riposo	Ruhetag	Rustdag	Lepopäivä	Dia de Descanso	Dzień odpoczynku	Hviledag	Dinleme günü	Jour de repos	Día de descanso	Počivaj en dan
Result	Result	Risultato	Ergebnis	Resultaat	Tulos	Resultado	Rezultat	Resultater	Sonuç	Résultat	Resultados	Rezultati
Right	Right	Destra	Rechts	Right	Oikea	Direita	W prawo	Højre	Sag	Droit	Derecha	Desno
Saturday	Saturday	sabato	Samstag	Rechts	lauantai	Sábado	Sobota	Lørdag	Cumartesi	Samedi	Sábado	sobota
Save	Save	Salva	Speichern	Bewaar	Tallenna	Salvar	Zapisz	Gem	Kaydet	Sauvegarder	Guardar	Shrani
Save File	Save File	Salva File	Datei speichern	Bestand bewaren	Tallenna tiedosto	Salvar arquivo	Zapisz plik	Gem Fil	Kayit Dosyasi	Sauvegarder fichier	Guardar Archivo	Shrani v datoteko
Save Name	Save Name	Salva Nome	Dateiname	Naam bewaren	Tallenna nimellä	Nome do Arquivo	Zapisz nazwę	Filnavn	Kayit Ismi	Sauvegarder nom	Guardar Nombre	Shrani ime
Save Track	Save Track	Salva Circuito	Strecke speichern	Circuit bewaren	Tallenna rata	Salver Pista	Zapisz tor	Gem Bane	Pisti Kaydet	Sauvegarder circuit	Guardar Pista	Shrani stezo
Screen	Screen	Schermata	Bild	Scherm	Ruutu	Tela	Ekran	Skærm	Ekran	Ecran	Pantalla	Zaslon
Season	Season	Stagione	Saison	Seizoen	Kausi	Tempor.	Sezon	Sæson	Sezon	Saison	Temporada	Sezona
September	September	settembre	September	september	syyskuu	Setembro	Wrzesień	September	Eylül	Septembre	Septiembre	september
shop_Balance	Balance	Bilancio	Bilanz	Rekening	Säästö	Balanço	Balans	Saldo	Bakiye	Balance	Saldo	Stanje
shop_Buy	Buy	Compra	Kaufen	Koop	Osta	Comprar	Kup	Køb	Satin Al	Acheter	Comprar	Kupi
shop_Own	Own	Proprio	Besitz	Bezit	Omistuksessa	Possui	Twoje	Ejer	Sahip Olunan	Possède	Posee	V lasti
shop_Price	Price	Prezzo	Preis	Prijs	Hinta	Preço	Cena	Pris	Ücret	Prix	Precio	Cena
shop_Sell	Sell	Vendi	Verkaufen	Verkoop	Myy	Vender	Sprzedaj	Sælg	Sat	Vendre	Vender	Prodaj
Show Info	Show Info	Mostra Info	Zeige Info	Toon info	Näytä info	Mostrar Info	Pokaż informacje	Vis Info	Bilgi Göster	Montrer info	Mostrar información	Pokaži info
Ski Chalet	Ski Chalet	Chalet	Skihütte	Ski Chalet	Alppimaja	Chalé de Ski	Domek narciarski	Skihytte	Ahsap Ev	Châlet à la montagne	Chalet de esquí	Smučarska koča
Skip Time	Skip Time	Salta Tempo	Qualifikation beenden	Sla tijd over	Ohita aikaa	Avançar	Przeskocz czas	Spring Kvalifikationen Over	Zamani Atla	Passer le temps	Pasar tiempo	Preskoči na konec
sla_DryTyres	D	D	D	D	K	S	S	S	Kuru	D	D	D
sla_Million	M	M	M	M	M	M	M	M	M	M	M	M
sla_Thousand	K	K	K	K	T	K	T	K	Bin	K	K	K
sla_WetTyres	W	W	W	W	M	C	M	V	Isl	W	W	W
Sound	Sound	Suono	Sound	Sound	Äänet	Som	Dźwięk	Lyd	Ses	Son	Sonido	Zvok
Sound FX	Sound FX	Suono FX	Sound FX	Sound FX	Äänet FX	Som FX	Efekty Dźwiękowe	Lydeffekter	Ses Efektleri	Son FX	Sonido FX	Efekti
Speed	Speed	Velocità	Geschwindigkeit	Snelheid	Nopeus	Velocidade	Szybkość	Hastighed	Hiz	Vitesse	Velocidad	Hitrost
Spin	Spin	Gira	Spin	Spin	Pyöritä	Girar	Obrót	Spin	Döndür	Tourne	Girar	Zavrti
sponsor_cellphone	cell phone	cellulare	Mobiltelefon	Mobieltje	matkapuhelin	celular	firma telekomunikacyjna	mobiltelefon	cep telefonu	GSM	teléfono celular	mobilni telefon
sponsor_clothing	clothing	vestiti	Kleidung	Kledij	vaatetus	roupas	firma odzieżowa	tøj	giysi	vêtements	prendas de vestir	oblačila
sponsor_jewelry	jewelry	gioielli	Schmuck	Juwelen	jalokivet	jóias	firma jubilerska	smykker	mücevherat	bijoux	joyería	nakit
sponsor_sportscar	sports car	macchine sportive	Sportwagen	Sportwagen	urheiluautot	carros esportivos	firma samochodowa	sportsbil	spor araba	voiture de sport	coche deportivo	športni avto
sponsor_sportsdrink	sports drink	drink energetici	Sportgetränk	Sportdrank	urheilujuoma	bebida esportiva	firma produkująca napoje	sportsdrink	spor içecek	boisson de sport	bebida deportiva	športno pijačo
sponsor_wristwatch	wrist watch	orologio da polso	Armbanduhr	Polshorloge	rannekello	relógio de pulso	firma zegarmistrzowska	armbåndsur	kol saati	montre	reloj de pulsera	zapestno uro
Sponsorship	Sponsorship	Sponsorizzazione	Sponsoring	Sponsoring	Sponsorisopimus	Patrocínio	Sponsorzy	Sponsorat	Sponsorluk	Sponsoring	Patrocinio	Sponzorstvo
sportscar_1	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper	Cooper
sportscar_10	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera	Cerbera
sportscar_11	Viper	Viper	Viper	Viper	Viper	Viper	Viper	Viper	Viper	Viper	Viper	Viper
sportscar_12	Modena	Modena	Modena	Modena	Modena	Modena	Modena	Modena	Modena	Modena	Modena	Modena
sportscar_13	L7	L7	L7	L7	L7	L7	L7	L7	L7	L7	L7	L7
sportscar_14	Tank	Carro Armato	Panzer	Tank	Tank	Tank	Czołg	Tank	Tank	Tank	Tanque	Tank
sportscar_15	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron	Veyron
sportscar_2	RX	RX	RX	RX	RX	RX	RX	RX	RX	RX	RX	RX
sportscar_3	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Otobüs	Bus	Autobús	Avtobus
sportscar_4	TT	TT	TT	TT	TT	TT	TT	TT	TT	TT	TT	TT
sportscar_5	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler	Wrangler
sportscar_6	BM5	BM5	BM5	BM5	BM5	BM5	BM5	BM5	BM5	BM5	BM5	BM5
sportscar_7	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2	HUM2
sportscar_8	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera	Carrera
sportscar_9	Vanquish	Vanquish	Vanquish	Vanquish	Vanquish	Vanquish	Vanquish	Vencer	Vanquish	Vanquish	Vencer	Vanquish
Stake	Stake	Stake	Einsatz	Aandeel	Panos	Aposta	Stawka	Indsats	Bahis	Mise	Apuesta	Stava
Status	Status	Status	Status	Status	Asema	Status	Status	Status	Durum	Statut	Estatus	Status
Sunday	Sunday	domenica	Sonntag	zondag	sunnuntai	Domingo	Niedziela	Søndag	Pazar	Dimanche	Domingo	nedelja
Super Mansion	Super Mansion	Super Palazzo	Großes Herrenhaus	Enorm groot herenhuis	Superkartano	Super Mansão	Obszerna rezydencja	Megapalæ	Süper Malikane	Super manoir	Super Mansión	Razkošen dvorec
Team	Team	Squadra	Team	Team	Talli	Equipe	Zespół	Hold	Takim	Equipe	Equipo	Ekipa
team	team	Squadra	team	team	Talli	equipe	zespół	hold	takim	équipe	equipo	ekipa
Team Profile	Team Profile	Profilo Squadra	Teamprofil	Team profiel	Tallin profiili	Perfil da Equipe	Profil Zespołu	Holdprofil	Takim Profili	Profil de l'équipe	Perfil del equipo	Podatki o ekipi
Thursday	Thursday	Giovedi	Donnerstag	donderdag	torstai	Quinta-Feira	Czwartek	Torsdag	Persembe	Jeudi	Jueves	četrtek
Time	Time	Tempo	Zeit	Tijd	Aika	Tempo	Czas Okrążenia	Tid	Zaman	Temps	Tiempo	Čas
tla_DidNotFinish	DNF	DNF	DNF	DNF	DNF	NT	ND	DNF	Btmdi	DNF	DNF	DNF
tla_DidNotQualify	DNQ	DNQ	DNQ	DNQ	DNQ	NC	NKL	DNQ	Bsrz	DNQ	DNQ	DNQ
tla_Friends	Frd	Frd	Frd	Frd	Yst	Amg	Prz	Ven	Ark	Amis	FRD	Prt
tla_JoyAxis	Axis	Axis	Axis	Axis	Kier	Eixo	Axis	Axis	X Eks	Axis	Eje	Os
tla_JoyButton	Btn	Btn	Btn	Btn	Näp	Btn	Btn	Knp	Dgm	Btn	Btn	Gumb
tla_JoyHat	Hat	Hat	Hat	Hat	Hat	Hat	Hat	Hat	Spk	Hat	Hat	Kapa
tla_kilometers	km	km	km	km	km	km	km	km	km	km	km	km
tla_Points	Pts	Pts	Pkte	Pts	Pst	Pts	Ptk	Pnt	Pn	Pts	Pts	Točk
tla_Position	Pos	Pos	Pos	Pos	Sij	Pos	Poz	Pos	Poz	Pos	Pos	Poz
Total	Total	Totale	Total	Total	Yhteensä	Total	Całość	Total	Toplam	Total	Total	Skupaj
Total Bet	Total Bet	Totale Scommessa	Total gesetzt	Totale weddenschap	Panokset yhteensä	Aposta Total	Zakład Całkowity	Indsats i alt	Toplam Bahis	Mise totale	Total de Apuestas	Skupna stava
Town House	Town House	Casa di Città	Stadthaus	Stadshuis	Kaupunkisunto	Casa na cidade	Domek w miasteczku	Landsbyhus	Kasaba Evi	Maison de ville	Town House	Hiša v mestu
Track	Track	Circuito	Strecke	Circuit	Rata	Pista	Tor	Bane	Pist	Circuit	Pista	Steza
Track Name	Track Name	Nome Circuito	Streckenname	Circuit naam	Radan nimi	Nome da pista	Nazwa Toru	Banenavn	Pist Ismi	Nom du circuit	Nombre de pista	Ime steze
Track Tiles	Track Tiles	Mattonelle Circuito	Streckentyp	Circuit tegels	Radan tyyli	Telhas da pista	Elementy Toru	Banefelter	Pist Zemini	Elements Circuit	Tiles de Pista	Deli steze
Tuesday	Tuesday	Martedi	Dienstag	dinsdag	tiistai	Terça-Feira	Wtorek	Tirsdag	Sali	Mardi	Martes	torek
Tyre Wear	Tyre Wear	Consumo Pneumatico	Reifenverschleiß	Banden slijtage	Renkaankulutus	Desgaste do Pneu	Opony	Dækslitage	Lastik	Type de pneus	Desgaste de los neumáticos	Obraba gum
Tyres	Tyres	Pneumatici	Reifen	Banden slijtage	Renkaat	Pneus	Opony	Dæk	Tekerlekler	Pneus	Neumáticos	Gume
Up	Up	Su	Hoch	Omhoog	Ylös	Cima	Góra	Op	Yukari	Haut	Arriba	Gor
Upload Time	Upload Time	Upload Tempo	Zeit hochladen	Tijd doorsturen	Aseta aika	Enviar tempo	Wyślij Czas	Indsend Tid	Zamani Gönder	Charger temps	Enviar Tiempo	Naloži čas
Use Map	Use Map	Usa Mappa	Karte verwenden	Gebruik map	Käytä karttaa	Usar Mapa	Użyj Mapy	Brug Kort	Harita Kullan	Utiliser la carte	Usar Mapa	Uporabi zemljevid
Very High	Very High	Altissimo	Sehr hoch	Heel hoog	Hyvin korkea	Muito Alta	Bardzo wysoka	Meget Højt	Çok Yüksek	Très élevé	Muy Alto	Zelo visoko
Very Low	Very Low	Bassissimo	Sehr niedrig	Heel laag	Hyvin matala	Muito Baixa	Bardzo niska	Meget Lavt	Çok Düsük	Très bas	Muy Bajo	Zelo nizko
View Height	View Height	Visualizza Altezza	Sichthöhe	Kijkhoogte	Kuvakulman korkeus	Altura da Visão	Wysokość widoku	Kamerahøjde	Yüksekligi Görüntüle	Hauteur de vue	Altura de vista	Višina pogleda
Villa	Villa	Villa	Villa	Villa	Huvila	Villa	Willa	Villa	Villa	Villa	Villa	Vila
Walls	Walls	Muri	Mauern	Muren	Seinät	Paredes	Ściany	Mure	Duvarlar	Murs	Muros	Zidovi
Wednesday	Wednesday	Mercoledi	Mittwoch	woensdag	keskiviikko	Quarta-Feira	Środa	Onsdag	Çarsamba	Mercredi	Miércoles	sreda
Week	Week	Settimana	Woche	Week	Viikko	Sem.	Tydzień	Uge	 Hafta	Semaine	Semana	Teden
Wet	Wet	Bagnato	Regnerisch	Nationaliteit	Märkä	Molhado	Mokro	Vådt	Islak	Mouillé	Húmedo	Mokro
Window	Window	Finestra	Fenster	Venster	Ikkuna	Janela	Okno	Vindue	Pencere	Fenêtre	Ventana	Okno
window_ModeSwitch	Switch To Windowed Mode	Cambia in Modalità Finestra	In Fenstermodus wechseln	Speel in een venster	Vaihda ikkunaan	Alterar para Modo Janela	Przełącz w tryb okna	Skift til vinduetilstand	Pencere Görünümüne Geç	Passer en mode fenêtre	Cambiar al modo de ventana	Igraj v oknu
Wins	Wins	Vittorie	Siege	Overwinningen	Voitot	Vitórias	Zwycięstw	Sejre	Kazanimlar	Victoires	Gana	Zmage
Yes	Yes	Si	Ja	Ja	Kyllä	Sim	Tak	Ja	Evet	Oui	Sí	Da
Yourself	Yourself	Te Stesso	Dich	Jezelf	Sinä itse	Você	Ty	Dig selv	Kendiniz	Vous-même	Ti	Zase
CMESSAGE_CHAMPIONSHIPWINNINGS1	Congratulations! You won the championship! You have been awarded $item in prize money.	Congratulazioni! Hai vinto il titolo! Sei stato premiato con $item.	Herzlichen Glückwunsch! Du hast die Meisterschaft gewonnen! Du bekommst $item an Preisgeld ausgezahlt.	Congratulations! You won the championship! You have been awarded $item in prize money.	Onneksi olkoon! Olet voittanut maailmanmestaruuden! Sinut ollaan palkittu $item määrällä palkintorahaa.	Parabéns! Você ganhou o campeonato! Você recebey $item como prêmio.	Gratulacje! Wygrałeś mistrzostwa! Otrzymujesz $item w gotówce.	 Tillykke! Du har vundet mesterskabet! Du er blevet tildelt $item i præmiepenge.	Tebrikler! Sampiyonayi kazandiniz! $item para ödülü kazandiniz.	Congratulations! You won the championship! You have been awarded $item in prize money.	Congratulations! You won the championship! You have been awarded $item in prize money.	Čestitke! Osvojil si prvenstvo! Prejel si $item evrov nagrade.
